episode,p1_win_rate,sign_flip_rate
0,0.47,0.4444444444444444
2000,0.495,0.4
4000,0.485,0.3333333333333333
6000,0.515,0.34615384615384615
8000,0.555,0.28
10000,0.525,0.29411764705882354
12000,0.49,0.36363636363636365
14000,0.51,0.36363636363636365
16000,0.515,0.23529411764705882
18000,0.54,0.2916666666666667
20000,0.505,0.4
22000,0.54,0.3076923076923077
24000,0.465,0.3157894736842105
26000,0.5,0.2777777777777778
28000,0.505,0.30434782608695654
30000,0.505,0.25
32000,0.53,0.25
34000,0.495,0.3076923076923077
36000,0.47,0.2857142857142857
38000,0.505,0.3333333333333333
40000,0.51,0.3181818181818182
42000,0.495,0.3333333333333333
44000,0.505,0.38461538461538464
46000,0.51,0.32
48000,0.52,0.3
