episode,p1_win_rate,sign_flip_rate
0,0.375,0.3512658227848101
2000,0.49,0.4166666666666667
4000,0.475,0.2727272727272727
6000,0.535,0.20833333333333334
8000,0.505,0.375
10000,0.44,0.42857142857142855
12000,0.48,0.13333333333333333
14000,0.45,0.5
16000,0.48,0.5
18000,0.5,0.2222222222222222
20000,0.5,0.3333333333333333
22000,0.54,0.30434782608695654
24000,0.485,0.4444444444444444
26000,0.485,0.5
28000,0.55,0.3157894736842105
30000,0.495,0.38461538461538464
32000,0.525,0.3333333333333333
34000,0.545,0.3333333333333333
36000,0.495,0.35714285714285715
38000,0.465,0.3888888888888889
40000,0.485,0.3125
42000,0.5,0.11764705882352941
44000,0.52,0.07142857142857142
46000,0.545,0.17857142857142858
48000,0.535,0.35
